Original Repo Name,Stars,Family Count (All Forks),Family Count (Stars >= 10),Family Repo Names (Stars >= 10),Commit Count where from_repo contains original repo,Commit Count total commits (all chunks for repo),Forks with Unique Commits Count,PR Coverage Ratio,PR Merge Rate
0015/ThatProject,2272,1006,0,,286,286,0,,0.1764705882
0voice/cpp_new_features,6081,1209,1,zhchai/cpp_learning,1513,1513,0,0,0.5
0voice/introduce_c-cpp_manual,7619,874,1,zheyan-code/C-,73,73,0,0,0
0xFA11/MultiplayerNetworkingResources,8284,514,5,rumaniel/Awesome-Game-Networking;gafferongames/GameNetworkingResources;miwarnec/Game-Networking-Resources;SocketWeaver/Awesome-Game-Networking;MongkonEiadon/Awesome-Game-Networking,310,312,2,0.6,0.6071428571
0xZ0F/Z0FCourse_ReverseEngineering,5554,550,0,,245,245,0,,0.84
1technophile/OpenMQTTGateway,3912,841,2,theengs/OpenMQTTGateway;prahjister/433toMQTTto433_ESP8266,1761,1843,2,0,0.8644325971
360Controller/360Controller,6725,536,1,MaddTheSane/360Controller,679,782,1,1,0.7951807229
3proxy/3proxy,4757,940,0,,1024,1024,0,,0.2037037037
78/xiaozhi-esp32,22167,4469,11,Kevincoooool/xiaozhi-esp32;txp666/xiaozhi-esp32;104gogo/xiaozhi-esp32;TienHuyIoT/xiaozhi-esp32_vietnam;SmallPond/xiaozhi-esp32;wdmomoxx/xiaozhi-esp32;nulllaborg/xiaozhi-esp32;M-D-777/xiaozhi-esp32;dotnfc/xiaozhi-esp32;Zc365/xiaozhi-esp32;XiaoTeTech/xiaozhi-esp32,794,1751,10,0.6363636364,0.6032
86Box/86Box,3890,434,2,PCBox/PCBox;starfrost013/86Box,19436,22514,2,1,0.9195129195
AFLplusplus/AFLplusplus,6137,1202,2,elManto/DDFuzz;paocela/AFLplusplus-AndroidPatches,8262,8414,2,0,0.8881706529
AGWA/git-crypt,9273,525,3,linus/git-crypt;LykkeCity/git-crypt;maxisam/git-crypt,228,266,3,0.6666666667,0.0125
ANYbotics/grid_map,3006,779,2,ethz-asl/grid_map;leggedrobotics/grid_map,1094,1133,2,0.5,0.628975265
ARM-software/ComputeLibrary,3078,789,1,SKKU-ESLAB/ACL-lowp,5003,5019,1,0,0.603960396
ARMmbed/DAPLink,2623,1028,3,devanlai/DAPLink;bh3nvn/DAPLink253;redbear/DAPLink,2733,2801,3,0.3333333333,0.7964458805
ARMmbed/mbed-os,4801,2820,7,mbed-ce/mbed-os;NordicPlayground/mbed;sparkfun/mbed-os-ambiq-apollo3;arduino/mbed-os;chei0rof3orm-m0-3/mbed-os;rightyffufidr-m5-3/mbed-os;morningior-m0-5/mbed-os,45578,48388,4,0.5714285714,0.8414589776
AaronFeng753/Waifu2x-Extension-GUI,15757,1046,0,,2467,2467,0,,0.4
AcademySoftwareFoundation/openvdb,3122,680,2,ramakarl/win_openvdb;sideeffects/openvdb_dev,5331,5646,2,0.5,0.8091205212
AdAway/AdAway,8581,652,2,PerfectSlayer/AdAway;d4rken/ad-away,4969,4992,1,1,0.8041926851
Adaptix-Framework/AdaptixC2,2415,435,0,,521,521,0,,0.6111111111
Airblader/i3,5840,270,2,resloved/i3;FinnHering/i3,8428,8467,2,0.5,0.4761904762
Aleksoid1978/MPC-BE,3434,131,1,johnbeere/MPC-3D,9939,9943,1,0,0.8301158301
Alex313031/thorium,6580,234,0,,4799,4799,0,,0.4814814815
AlexAltea/orbital,3640,272,0,,300,300,0,,0.7142857143
AlexandreRouma/SDRPlusPlus,5352,703,4,sannysanoff/SDRPlusPlusBrown;F5OEO/SDRPlusPlus;SatDump/SDRPlusPlus;nkxingxh/SDRPlusPlus-CHS,1819,2938,4,0.25,0.557312253
Alexays/Waybar,10024,942,1,vaxerski/Waybar,4233,4233,0,1,0.8091922006
Alinshans/MyTinySTL,12328,3359,0,,1049,1049,0,,0.7882352941
Almamu/linux-wallpaperengine,3021,103,0,,571,571,0,,0.7916666667
AltraMayor/f3,3052,161,0,,339,339,0,,0.7647058824
AnkerLeng/Cpp-0-1-Resource,3376,1148,0,,15,15,0,,0
AnswerDotAI/gpu.cpp,3922,200,0,,451,451,0,,0.8070175439
AntiMicroX/antimicrox,3336,207,0,,2993,2993,0,,0.9343065693
Anttwo/SuGaR,3064,259,0,,31,31,0,,0
ApolloAuto/apollo,26277,9720,6,VincentWong3/apollo;Ewenwan/apollo;zhxt/apollo;DinnerHowe/apollo_read;TESLA-Self-Driving-Car/apollo;guardstrikelab/apollo,37421,38168,6,0.3333333333,0.8810170105
AppImage/AppImageKit,9205,598,0,,2602,2602,0,,0.7903225806
ApsaraDB/PolarDB-for-PostgreSQL,3102,501,0,,99792,99792,0,,0.7819767442
Ardour/ardour,4592,796,1,ngeiswei/ardour,49350,50284,1,1,0.2138671875
ArduPilot/ardupilot,14160,19026,21,bluerobotics/ardusub;kaiqzhan/ardupilot-raspilot;emlid/ardupilot;skybrush-io/ardupilot;tridge/ardupilot;nufeichuiyun/ardupilot;erlerobot/ardupilot;mit-gfx/ardupilot;night-ghost/ardupilot;BeaglePilot/ardupilot;rmackay9/rmackay9-ardupilot;jason4short/ardupilot;sh83/ardupilot;dronekit/ardupilot-releases;1harios/ardupilot;davidbuzz/ardupilot;priseborough/ardupilot;olliw42/BetaPilot;IamPete1/ardupilot;tpwrules/ardupilot;3drobotics/ardupilot,92554,148756,20,0.8095238095,0.6568344731
Arduino-IRremote/Arduino-IRremote,4876,1749,5,iosifpeterfi/Arduino-IRremote;mpflaga/Arduino-IRremote;ExploreEmbedded/Arduino-IRremote;SensorsIot/Arduino-IRremote;Neco777/Arduino-IRremote,941,1049,5,1,0.401459854
ArthurSonzogni/FTXUI,9196,563,0,,896,896,0,,0.9130434783
ArtifexSoftware/mupdf,2456,408,1,wmjordan/mupdf,13217,13324,1,0,0
Ascotbe/Kernelhub,3181,672,0,,98,98,0,,0.5
AstraThreshold/oled-ui-astra,2264,227,0,,117,117,0,,0.6
Atmosphere-NX/Atmosphere,17489,1283,14,AK478BB/AK-Atmosphere;rumla3434/Atmosphere-Stable;laila509/Atmosphere-syspatch;rumla34/Atmosphere-stable;Yuanbanba/Atmosphere;rashevskyv/Kefirosphere;ktemkin-archive/Atmosphere;zdm65477730/Atmosphere;ZachyCatGames/Atmosphere;Cirrest/NXmode;XorTroll/Atmosphere;tomvita/Atmosphere;AtlasNX/Kosmos-Atmosphere;CTCaer/Atmosphere,5364,6698,14,0.2857142857,0.7236180905
AtomicGameEngine/AtomicGameEngine,3380,628,0,,3450,3450,0,,0.8566037736
AutoHotkey/AutoHotkey,11563,1079,2,thqby/AutoHotkey_H;fobrs/AutoHotkey_L,4756,4885,2,1,0.399339934
Awesome-HarmonyOS/HarmonyOS,19790,3281,2,OpenHarmonyOS/HarmonyOS;bjmashibing/HarmonyOS,78,78,0,0,0.306122449
BVLC/caffe,34763,13911,67,weiliu89/caffe;microsoft/caffe;ydwen/caffe-face;NVIDIA/caffe;niuzhiheng/caffe;pmgysel/caffe;Yangqing/caffe;jeffdonahue/caffe;ddtm/caffe;Adnan1011/NR-IQA-CNN;ShaoqingRen/caffe;Fang-Haoshu/RMPE;brodyh/caffe;naibaf7/caffe;longjon/caffe;conner99/caffe;CMU-Perceptual-Computing-Lab/caffe;alejandro-isaza/caffe;benjibc/caffe-rpi;superlich7/caffe;dosovits/caffe-fr-chairs;jolibrain/caffe;qinzheng93/diagonalwise-refactorization-caffe;freesouls/caffe;torrvision/caffe;yosinski/caffe;rksltnl/Caffe-Deep-Metric-Learning-CVPR16;Tongcheng/caffe;ducksoup/autodial;MMLab-CU/caffe;initialneil/caffe;thuml/hash-caffe;ducha-aiki/caffe;simbaforrest/caffe;sp2823/caffe;mmoghimi/BoostCNN;shihenw/caffe;dtmoodie/caffe;ShiqiYu/caffe;gidariss/caffe_LocNet;matthieudelaro/caffeBVLCplus;quhezheng/caffe_yolo_v2;deercoder/DeepFood;nicklhy/caffe-dev;sh1r0/caffe;lunochod/caffe;ajtulloch/caffe;willyd/caffe;ChWick/caffe;frogner/caffe;jackculpepper/caffe;YutingZhang/caffe;HUJI-Deep/caffe-simnets;wangyida/caffe;mmclkv/caffe-mask-rcnn;pannous/caffe;slayton58/caffe;yocox/caffe;Cysu/caffe;Pastromhaug/caffe-stochastic-depth;sguada/caffe-public;shi-yan/caffe;Maratyszcza/caffe;jetpacapp/caffe;SoonminHwang/caffe-1.0;caffe2/caffe;myfavouritekk/caffe,12633,19960,67,0.5820895522,0.484402852
BYVoid/OpenCC,9364,1020,2,gelosie/OpenCC;swiftdo/OpenCC,1441,1458,2,0,0.6982543641
BandarHL/BHTwitter,2434,519,6,NeoFreeBird/tweak;qnblackcat/BHTwitter-Plus_Sideloaded;nowesr1/BHTwitter;waruhachi/BHTwitter;baterblx/BHX;arichornlover/BHX,195,1842,5,0.1666666667,0.4237288136
BasedHardware/OpenGlass,3855,515,1,xanderchinxyz/Voice-Assistant-Camera-Wearable,67,130,1,0,0.7647058824
BasedHardware/omi,7304,1110,1,supermemoryai/Friend,9605,9606,1,1,0.8206674708
BehaviorTree/BehaviorTree.CPP,3689,800,0,,1684,1684,0,,0.7288135593
BespokeSynth/BespokeSynth,4442,269,1,awwbees/BespokeSynth,1886,1899,1,1,0.8937007874
BitMaker-hub/NerdMiner_v2,2423,519,4,ek0onsec/NerdMiner_v2_Scrypt;m8ax/MvIiIaX-NerdMiner_V2-DeV;Pixelssquad/NerdMiner_v2_IdeaSpark1.9in-ST7789-Display-LCD-TFT-170x320;evgenykzz2/NerdMiner_v2,632,749,2,0.5,0.6606334842
BlueMatthew/WechatExporter,7216,657,0,,1378,1378,0,,0.5
Bodmer/TFT_eSPI,4479,1225,3,Seeed-Studio/Seeed_GFX;ggaljoen/TFT_eSPI;justcallmekoko/TFT_eSPI,1160,1416,3,0.3333333333,0.3087719298
BoomingTech/Piccolo,6479,1959,1,Shy-boomingtech/Pilot,220,220,0,0,0.6216216216
BruceDevices/firmware,4222,1233,3,bmorcelli/Bruce;smoochiee/Bruce;andreock/Bruce,2719,3216,3,1,0.7846410684
BrunoLevy/learn-fpga,3316,311,1,wuxx/learn-fpga,1392,1392,0,1,0.6086956522
CGAL/cgal,5655,1487,0,,115327,115327,0,,0.905964142
CLIUtils/CLI11,4005,406,0,,1422,1422,0,,0.9253521127
CMU-Perceptual-Computing-Lab/openpose,33528,7934,6,soulslicer/STAF;yysijie/openpose;TadasBaltrusaitis/openpose;FaceAR/openpose;peisuke/openpose;luckynote/openpose,735,1140,3,0.1666666667,0.6615969582
CTCaer/hekate,7833,583,4,easyworld/hekate;laila509/hekate_ipl;rajkosto/hekate;sthetix/hekate-emmc-size-check-removed,1917,2089,4,0.25,0.4109589041
CTurt/FreeDVDBoot,2381,166,1,ps2homebrew/FreeDVDBoot,70,75,1,0,0
CalcProgrammer1/OpenRGB,3636,274,0,,5603,5603,0,,0.1194029851
CameraKit/camerakit-android,5395,851,0,,557,557,0,,0.6386554622
CedricGuillemet/ImGuizmo,3694,894,1,TheCherno/ImGuizmo,371,372,1,0,0.7532467532
Celtoys/Remotery,3271,281,1,dougbinks/Remotery,973,973,0,1,0.8727272727
ChaiScript/ChaiScript,3104,398,1,lefticus/ChaiScript,2394,2394,0,1,0.7928994083
Chikage0o0/Linux-NetSpeed,3778,1661,4,ylx2016/Linux-NetSpeed;cx9208/Linux-NetSpeed;sembrono/BBR-PLUS;hijkpw/Linux-NetSpeed,71,440,4,0.5,0.4117647059
Chlumsky/msdfgen,4566,444,2,ckohnert/msdfgen;TheCherno/msdfgen,167,249,2,0.5,0.3448275862
ChrisJohnsen/tmux-MacOSX-pasteboard,2397,84,0,,111,111,0,,0.5454545455
Cisco-Talos/clamav,5980,826,0,,18056,18056,0,,0.7233009709
ClassicOldSong/Apollo,6757,172,1,Nonary/Vibepollo,3335,3721,1,1,0.4186046512
ClemensElflein/OpenMower,6340,367,0,,406,406,0,,0.7647058824
CleverRaven/Cataclysm-DDA,11820,4433,9,Cataclysm-TISH-team/Cataclysm-TISH;AtomicFox556/Cataclysm-EOD;1harios/Cataclysm-DDA;rameshvarun/cdda-web;itsmariush/Cataclysm-DDA_3DS;roloa/Cataclysm-DDA_variant;KorGgenT/Cataclysm-DDA;utunnels/Cataclysm-DDA;remyroy/Cataclysm-DDA,126756,129199,8,0.4444444444,0.8915295897
ClickHouse/ClickHouse,44510,7887,4,Altinity/ClickHouse;NeowayLabs/ClickHouse;1harios/ClickHouse;Kyligence/ClickHouse,238820,273308,3,,
CloudCompare/CloudCompare,4244,1139,1,AndrewHazelden/CloudCompare4D,5534,5566,1,0,0.9110047847
CloverHackyColor/CloverBootloader,4925,668,0,,7427,7427,0,,0.6517857143
CoatiSoftware/Sourcetrail,16305,1598,3,petermost/Sourcetrail;OpenSourceSourceTrail/Sourcetrail;quarkslab/NumbatUI,2834,3820,3,0,0.8842105263
CodePanda66/CSPostgraduate-408,5398,728,0,,256,256,0,,0.5454545455
CodingGay/BlackDex,6178,1310,0,,93,93,0,,0.5882352941
ColinIanKing/stress-ng,2413,338,0,,19708,19708,0,,0.005681818182
ConEmu/ConEmu,9004,612,0,,9015,9015,0,,0.2846153846
ConfettiFX/The-Forge,5380,543,0,,539,539,0,,0.7676056338
Const-me/Whisper,9960,925,0,,207,207,0,,0
Croteam-official/Serious-Engine,3115,323,5,icculus/Serious-Engine;SeriousAlexej/Serious-Engine;videogamepreservation/Serious-Engine;TwilightWingsStudio/SSE-Legacy;DreamyCecil/Serious-Engine,99,2160,4,0.6,0.6296296296
CrowCpp/Crow,4559,505,0,,2257,2257,0,,0.8511904762
CtripMobile/DynamicAPK,3035,862,0,,22,22,0,,0
Cyan4973/xxHash,10576,879,2,pombredanne/xxHash-3;Unity-Technologies/xxHash,2192,2198,2,0,0.846969697
DDoSolitary/LxRunOffline,4251,259,0,,435,435,0,,0.625
DPDK/dpdk,4011,1359,2,aliireza/CacheDirector;Mellanox/dpdk-vhost-vfe,52105,52428,2,0,0
DS-Homebrew/TWiLightMenu,3730,214,0,,6497,6497,0,,0.9493844049
DarkFlippers/unleashed-firmware,20576,1760,11,DXVVAY/xvirus-firmware;UberGuidoZ/unleashed-firmware;derskythe/flipperzero-firmware-derskythe;v1nc/flipperzero-firmware;EJRicketts/flipperzero-firmware-Unleashed;Eng1n33r/unleashed-firmware;darmiel/flipper-playlist;DerrowBond/ultimate-flipper-firmware;frankfium/flipperzero-firmware-plugins;theY4Kman/flipperzero-firmware;haisenteck/Haisenteck-Flipper-MOD,8037,10661,9,0.4545454545,0.7536231884
DarthTon/Blackbone,5283,1397,1,TopoIogist/Blackbone,417,417,0,0,0.65
Dav1dde/glad,4334,493,0,,760,760,0,,0.3787878788
DaveGamble/cJSON,12241,3418,2,rightyffufidr-m5-3/cJSON;arnoldlu/cJSON,1205,1225,1,0,0.4858757062
DayBreak-u/chineseocr_lite,12244,2251,1,vba34520/chineseocr_lite,329,426,1,0,0.7582417582
DhavalKapil/icmptunnel,3215,352,0,,78,78,0,,0.7
DistroAV/DistroAV,4071,416,3,dev47apps/obs-ndi;DDRBoxman/obs-ndi;kilinbox/obs-ndi,1377,1386,3,0.3333333333,0.7191489362
DoctorWkt/acwj,12645,1155,0,,240,240,0,,0.5161290323
DualCoder/vgpu_unlock,5133,457,1,rupansh/vgpu_unlock_5.12,23,24,1,0,0.7142857143
DynamoRIO/drmemory,2675,296,0,,2659,2659,0,,0.9245283019
DynamoRIO/dynamorio,2968,601,0,,8477,8477,0,,0.9137535817
EOSIO/eos,11242,3457,8,OmniOneID/eos;EOS-Mainnet/eos;Remmeauth/remprotocol;boscore/bos;UOSnetwork/uos;cyberway/cyberway;greymass/eos;airpixelspro/eos,28634,31846,7,0.75,0.831054036
EZLippi/Tinyhttpd,12031,3901,0,,25,25,0,,0.2608695652
EZLippi/WebBench,2781,1100,3,linyacool/WebBench;qinyuhang/WebBench;fivezh/WebBench,35,49,3,0,0.4444444444
EasyHook/EasyHook,3236,660,1,nmgwddj/EasyHook,121,131,1,0,0.7741935484
ElementsProject/lightning,3016,945,1,cdecker/lightning,18276,28261,1,1,0.8504360735
Entware/Entware,2596,176,0,,3092,3092,0,,0.2
EpicGamesExt/raddebugger,6320,275,1,gingerBill/raddebugger,3610,3616,1,0,0.3
EsotericSoftware/spine-runtimes,4915,2985,0,,11112,11112,0,,0.5558375635
EtchedPixels/FUZIX,2393,273,3,davidgiven/FUZIX;EythorE/FUZIX;wez/FUZIX,11577,11773,3,0.3333333333,0.8297258297
Ettercap/ettercap,2628,508,1,SpiderLabs/ettercap,3190,3267,1,1,0.8699186992
Ewenwan/MVision,8501,2667,0,,3396,3396,0,,0
Ewenwan/ShiYanLou,3034,762,0,,2019,2019,0,,
Exely/CSAPP-Labs,2538,444,0,,33,33,0,,0.6666666667
ExistentialAudio/BlackHole,17847,728,2,cluely/BlackHole;yuriteixeira/BlackHoleWithAux,636,640,2,0,0.8
ExpressLRS/ExpressLRS,4563,1164,4,sensei-hacker/PrivacyLRS;BETAFPV/ExpressLRS;awigen/ExpressLRS;cruwaller/ExpressLRS,3436,4523,4,1,0.8351926978
EyalAr/lwip,2367,243,2,mixer/lwip;Pajk/lwip,290,448,2,1,0.5454545455
F-Stack/f-stack,4150,951,0,,1492,1492,0,,0.8406593407
F5OEO/rpitx,4377,573,1,IgrikXD/rpitx-ui,324,330,1,1,0.6181818182
FASTSHIFT/X-TRACK,6119,1236,2,peng-zhihui/X-TRACK;chenghongyao/X-TRACK,344,364,2,0,0.7096774194
FEX-Emu/FEX,5808,205,1,TGP-17/FEX,13552,13588,1,0,0.9348549691
FFTW/fftw3,2980,693,1,cpuimage/fftw3,3179,3182,1,0,0.4945054945
FFmpeg/FFmpeg,55364,11583,45,ShiftMediaProject/FFmpeg;bilibili/FFmpeg;ffmpegwasm/ffmpeg.wasm-core;ksvc/FFmpeg;ramiropolla/ffglitch-core;jjm2473/ffmpeg-rk;bcoudurier/FFmbc;yixia/FFmpeg-Vitamio;ossrs/ffmpeg-webrtc;saitoha/FFmpeg-SIXEL;hbiyik/FFmpeg;eVRydayVR/ffmpeg-unwarpvr;maxmpz/FFmpeg;OpenHEVC/FFmpeg;xatabhk/FFmpeg-avs2-avs3;drocon11/ffmpeg-qsv;Intel-FFmpeg-Plugin/Intel_FFmpeg_plugins;cyanreg/FFmpeg;LongChair/FFmpeg;xbmc/FFmpeg;pkuvcl/FFmpegAVS2;Kwiboo/FFmpeg;sonysuqin/FFmpeg-Quic-Cronet;bandlab/FFmpeg;GyanD/FFmpeg;TopazLabs/FFmpeg;kevmo314/ffmpeg-webrtc;dji-sdk/FFmpeg;BtbN/FFmpeg;yhaolpz/FFmpeg;cbcrc/FFmpeg;danielkucera/FFmpeg;popcornmix/FFmpeg;0p1pp1/FFmpeg;pili-engineering/pili-ffmpeg;bytedance/FFmpeg;averne/FFmpeg;michaelni/FFmpeg;T-bagwell/FFmpeg_Book_Version2;Magicking/ffmpeg-ndi;leixiaohua1020/FFmpeg;Britz/FFmpeg;tbiat/FFmpeg;sherpya/FFmpeg;makrsmark/FFmpeg,150976,162029,44,0.1555555556,0.04155844156
FIX94/Nintendont,2266,327,3,project-slippi/Nintendont;revvv/Nintendont-XBOX360;libertyernie/Nintendont,956,1540,3,0.6666666667,0.4677419355
FLIF-hub/FLIF,3736,235,0,,901,901,0,,0.9162561576
FRRouting/frr,3913,1379,1,opensourcerouting/frr,49236,52849,1,1,0.8416011165
FWGS/xash3d-fwgs,2220,314,7,w23/xash3d-fwgs;noodlecollie/afterburner-game;MacSourcePorts/xash3d-fwgs;Velaron/xash3d-fwgs;maximqaxd/xash3d-fwgs_dc;kungfulon/xash3d-fwgs;fgsfdsfgs/xash3d-fwgs,6421,9623,7,0.7142857143,0.7670753065
Facico/Chinese-Vicuna,4145,419,0,,227,227,0,,0.75
FalkorDB/FalkorDB,2423,175,0,,5419,5419,0,,0.74
FastLED/FastLED,7179,1652,5,samguyer/FastLED;coryking/FastLED;DevonCrawford/FastLED;EmteZogaf/FastLED;PaulStoffregen/FastLED,12432,12492,3,0.6,0.6370716511
FelixKratz/JankyBorders,2992,55,0,,191,191,0,,0.3333333333
FelixKratz/SketchyBar,10641,142,0,,1228,1228,0,,0.7674418605
FeralInteractive/gamemode,5571,212,0,,729,729,0,,0.8508287293
Flipper-XFW/Xtreme-Firmware,9809,716,4,BadException/Flipper-Xtreme;IamUSER/Flipper-Fusion;SkeletonMan03/Xtreme-Firmware;MatthewKuKanich/Xtreme-Firmware,11668,11985,2,0.25,0.7368421053
FluidSynth/fluidsynth,2227,275,2,VolcanoMobile/fluidsynth-android;jet2jet/fluidsynth-emscripten,3798,4512,2,0.5,0.825
FreeCAD/FreeCAD,27368,4896,11,realthunder/FreeCAD;Ondsel-Development/FreeCAD;AstoCAD/FreeCAD;apeltauer/FreeCAD;1harios/FreeCAD;berndhahnebach/FreeCAD_bhb;kwahoo2/FreeCAD;sgrogan/FreeCAD;yorikvanhavre/FreeCAD;PaddleStroke/FreeCAD;chennes/FreeCAD,46673,58733,10,0.8181818182,0.7697607656
FreeRADIUS/freeradius-server,2407,1143,0,,64802,64802,0,,0.7424757282
FreeRDP/FreeRDP,12580,24801,7,microsoft/FreeRDP-mirror;awakecoding/FreeRDP;cedrozor/FreeRDP;tanveerpot/FreeRDP;UiPath/FreeRDP;shaddybaddah/FreeRDP;iiordanov/FreeRDP,23451,24234,6,0.7142857143,0.9033036657
FreeRDP/Remmina,2405,857,0,,11249,11249,0,,0.8754578755
FreeRTOS/FreeRTOS,6730,1879,2,chei0rof3orm-m0-3/FreeRTOS;morningior-m0-5/FreeRTOS,3932,3932,0,0,0.7842981761
FreeRTOS/FreeRTOS-Kernel,3689,1344,0,,3853,3853,0,,0.8071495767
FrictionalGames/AmnesiaTheDarkDescent,3597,349,3,OSS-Cosmic/AmnesiaTheDarkDescent;TiManGames/AmnesiaTheDarkDescent;buzer2020/Amnesia64,1,810,3,0,0
GNOME/gimp,5834,835,2,seagetch/gimp-painter;Sneeds-Feed-and-Seed/SIMP,69772,71298,2,0,0
GPUOpen-LibrariesAndSDKs/VulkanMemoryAllocator,3123,413,0,,1326,1326,0,,0.7941176471
GStreamer/gstreamer,2929,704,0,,135039,135039,0,,0
GarageGames/Torque3D,3358,1161,9,BeamNG/Torque3D;Azaezel/Torque3D;faustlogic/Torque3D-plus-AFX;Areloch/GG-Torque3D;T3DCE/CE-OSLab;LuisAntonRebollo/Torque3D;andr3wmac/Torque3D;jamesu/Torque3D;joticarroll/Torque3D,3639,8680,9,0.7777777778,0.719330855
Genivia/ugrep,2995,128,0,,904,904,0,,0.7528089888
Genymobile/scrcpy,132140,12497,9,wenxiaomao1023/scrcpy;NetrisTV/scrcpy;Lurker00/scrcpy;Coool/scrcpy-macOS-Binaries;rom1v/scrcpy;RiggiG/scrcpy-root;VacantHusky/scrcpyFpsGameKeyMap;lingyicute/scrcpy;yume-chan/scrcpy,6183,6527,9,0.4444444444,0.1915254237
Gnucash/gnucash,3988,883,0,,34332,34332,0,,0.7016651249
GothenburgBitFactory/taskwarrior,5351,376,0,,11948,11948,0,,0.8861209964
HIllya51/LunaTranslator,9854,998,1,kurikomoe/LunaTranslator,4022,4033,1,1,0.85
HKUST-Aerial-Robotics/Fast-Planner,3076,703,4,Junking1/Fast-Planner-for-ubuntu20.04;RENyunfan/Fast-Planner-Ubuntu20;beomsu7/Fast-Planner;USTfgaoaa/Fast-Planner,79,181,3,0.25,0.1333333333
HKUST-Aerial-Robotics/VINS-Fusion,4240,1384,6,KennyWGH/VINS-Fusion-Understood;guisoares9/VINS-Fusion;JanekDev/VINS-Fusion-ROS2-humble-arm;lnexenl/PPCA-VINS;rkuo2000/VINS-Fusion;manthan99/VINS-COVINS-adaptation,41,244,6,0,0
HKUST-Aerial-Robotics/VINS-Mono,5639,2059,4,castiel520/VINS-Mono;plusk01/Anticipated-VINS-Mono;gaochq/VINS-Mono;brucezhcw/VINS-Explorer,88,256,4,0.25,0.1818181818
HackerPoet/NonEuclidean,6315,601,0,,8,8,0,,0.1111111111
Haivision/srt,3423,865,1,BELABOX/srt,3058,3062,1,0,0.8577753182
HandBrake/HandBrake,21636,1565,1,Eclipse-Community/StickShift,15419,15442,1,0,0.7857661583
HansKristian-Work/vkd3d-proton,2446,250,2,lutris/vkd3d;doitsujin/vkd3d,7495,8683,2,0.5,0.9182217344
HarbourMasters/Shipwright,4245,554,4,garrettjoecox/OOT;GaryOderNichts/Shipwright;Rinnegatamante/Shipwright;worleydl/shipdev,3787,4349,4,0.5,0.8040451799
HardySimpson/zlog,2481,688,5,lisongmin/zlog;bmanojlovic/zlog;pattheaux/zlog;rightyffufidr-m5-3/zlog;felinoibility-M4-15/zlog,486,584,3,0.2,0.72
HeyWillow/willow,2919,167,0,,1250,1250,0,,0.9041916168
HowardHinnant/date,3338,719,0,,958,958,0,,0.4371257485
HyperDbg/HyperDbg,3552,454,0,,2923,2923,0,,0.9442970822
ImVexed/muon,2933,66,0,,84,84,0,,0.6842105263
ImageMagick/ImageMagick,15097,1526,1,igorgamer001/ImageMagick,23471,23471,0,0,0.7017892644
Immediate-Mode-UI/Nuklear,10646,663,0,,2472,2472,0,,0.6343490305
InfiniTimeOrg/InfiniTime,3146,1009,1,joaquimorg/PinetimeLite,2593,2855,1,1,0.5815384615
IoLanguage/io,2739,329,0,,2768,2768,0,,0.8731707317
JakubVojvoda/design-patterns-cpp,4485,1014,0,,59,59,0,,0.1428571429
JoeDog/siege,6158,394,0,,699,699,0,,0.4137931034
JoeyDeVries/LearnOpenGL,12115,2876,3,Zuzu-Typ/LearnOpenGL-Python;Thanhvp/LearnOpenGL;stephane-lb/LearnOpenGL,607,665,2,0,0.6882352941
JonathanSalwan/Triton,3955,580,0,,4397,4397,0,,0.7754137116
JoseExposito/touchegg,3995,182,0,,700,700,0,,0.7323943662
KDAB/hotspot,4929,282,0,,1760,1760,0,,0.8126984127
KDE/ghostwriter,4727,314,1,michelolvera/vs-ghostwriter,1831,1847,1,0,0.6779661017
KDE/heaptrack,3877,233,0,,1775,1775,0,,0.1355932203
KDE/kdeconnect-kde,3395,235,1,tm9k1/kdeconnect-kde,6519,6519,0,0,0
KDE/kdenlive,4331,352,0,,26521,26521,0,,0
KDE/krita,9106,719,1,valpackett/krita-wayland,76129,76132,1,0,0
KhronosGroup/Vulkan-Hpp,3551,383,0,,2350,2350,0,,0.9004053272
KhronosGroup/Vulkan-Samples,5032,772,1,SaschaWillems/Vulkan-Samples,1002,1377,1,1,0.8496071829
KhronosGroup/glslang,3398,890,1,google/glslang,5573,5575,1,1,0.8601190476
Kitt-AI/snowboy,3325,879,1,seasalt-ai/snowboy,392,422,1,1,0.6934306569
Kitware/CMake,7642,2529,7,microsoft/CMake;steveire/CMake;gwankyun/CMake;trentforkert/cmake;sysprogs/CMake;inbilla/CMake;jdavidberger/CMake,73661,78602,7,0.1428571429,0.02652519894
Kitware/VTK,3035,1212,0,,96840,96840,0,,0.08955223881
